"Allow invitation","السماح بالدعوات"
"Select email template","Select email template"
"Submit","أرسل"
"Cancel","إلغاء"
"Should we take all orders from all referrals, or orders for each referral separately, to check against the target","Should we take all orders from all referrals, or orders for each referral separately, to check against the target"
"Discount applicable only if","Discount applicable only if"
"Order total is greater than","Order total is greater than"
"Min order total","Min order total"
"Min discount amount","Min discount amount"
"Min discount","Min discount"
"How many times the discount can be earned by a referrer","How many times the discount can be earned by a referrer"
"How many times the discount can be used by a referrer","How many times the discount can be used by a referrer"
"Referrer full name","الاسم الكامل لصديقك"
"Referrer email","بريد صديقك الإلكتروني"
"Discounts earned","الخصومات التي تم الحصول عليها"
"Discounts used","الخصومات المستخدمة"
"Total/Eligible for discount:","Total/Eligible for discount:"
"Eligible for discount","Eligible for discount"
"Allow using broadcast links","Allow using broadcast links"
"Share the link with your friends:","شارك هذا الرابط مع أصدقائك:"
"This rule gives ","This rule gives "
"% from the order total","% from the order total"
"% from all referrals purchases","% from all referrals purchases"
" referral sign ups"," الأصدقاء الذين اشتركوا"
" items purchased by referral"," الأصناف التي اشتراها صديقك"
" total referral purchases"," مجموع مشتريات الدعوات"
"The rule checks this condition by summarizing purchases of ","The rule checks this condition by summarizing purchases of "
"The discount can be earned ","The discount can be earned "
" times"," مرة"
"unlimited number of times","unlimited number of times"
" by a referrer accumulating discount "," by a referrer accumulating discount "
"sum","مجموع"
"percent","percent"
"The earned discount can be used ","The earned discount can be used "
" time(s)"," مرة/مرات"
" unlimited number of times"," عدد لا نهائي من المرات"
"the order total is greater than ","the order total is greater than "
"the discount amount is greater than ","the discount amount is greater than "
" and cannot be applied together with a coupon"," and cannot be applied together with a coupon"
" and can be applied together with a coupon"," and can be applied together with a coupon"
" and "," و "
"The discount cannot be earned ","The discount cannot be earned "
"Can not send invitation","لا يمكن إرسال دعوة"
"Referral orders limit","Referral orders limit"
"How many referral's orders used to earn a discount","How many referral's orders used to earn a discount"
"Total of all referral's orders","Total of all referral's orders"
"Total of only ","فقط "
" first referral's order(s)"," first referral's order(s)"
" is used to earn a discount."," يستخدم للحصول على خصم."
"Item price + Tax","Item price + Tax"
"Item price","Item price"
"Calculate purchase amount as","Calculate purchase amount as"
"Define the page for users to be redirected to after clicking the referred link","Define the page for users to be redirected to after clicking the referred link"
"Invite a friend","ادع صديق الآن"
"CUSTOMER FULL NAME","aa"
"Signed up","اشترك"
"Сonfirmed","تم التأكيد"
"Items Purchased","الأصناف المشتراة"
"Total Amount Purchased","مجموع المشتريات"
"Message subject","عنوان الرسالة"
"Friend's name","اسم صديقك"
"Friend's email","بريد صديقك الإلكترونتي"
"Message text","نص الرسالة"
"Account login","تسجيل الدخول"
"Account password","كلمة المرور"
"You shouldn't insert any links in the text - they will be added automatically.","لا تدخل أي روابط في نص الرسالة، سيتم إضافة رابط الدعوة بشكل تلقائي."
"Invitation to Khodarji.com - Your local online fresh Fruits & Vegetables store with Free delivery","دعوة إلى jordanshopper.com - موقع شراء الخضار والفواكة الطازجة مع خدمة التوصيل المجاني"
"yes","نعم"
"no","لا"
"",""
"",""
